VESSEL_ID,Trip_ID,OBSET_ID,Total_Hooks_Set,Hooks_Observed,BSL,Birds_Obs_Caught,Season,Hooks_Recovered,Year,Regulation
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,25200,,Yes,0,Summer,25150,2018,AFTER
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,22500,,Yes,0,Summer,22300,2018,AFTER
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,23940,,Yes,0,Summer,23740,2018,AFTER
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,24300,,Yes,0,Summer,24100,2018,AFTER
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,23400,,Yes,0,Summer,23150,2018,AFTER
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,24750,,Yes,0,Summer,24500,2018,AFTER
Joao N Castro,FAO1,Onesmus I Iipinge_1_1,13500,,Yes,0,Summer,13380,2018,AFTER
Boston Wayfarer,FAO2,Kennedy Antonio_2_1,17640,,Yes,0,Summer,14540,2018,AFTER
Boston Wayfarer,FAO2,Kennedy Antonio_2_1,17640,,Yes,0,Summer,14540,2018,AFTER
Boston Wayfarer,FAO2,Kennedy Antonio_2_1,17640,,Yes,0,Summer,14540,2018,AFTER
Boston Wayfarer,FAO2,Kennedy Antonio_2_1,17640,,Yes,0,Summer,14540,2018,AFTER
Boston Wayfarer,FAO2,Kennedy Antonio_2_1,17640,,Yes,0,Summer,14540,2018,AFTER
Boston Wayfarer,FAO2,Kennedy Antonio_2_1,10080,,Yes,0,Summer,7080,2018,AFTER
Carolina Castro,FAO3,Tomas Niinkoti_3_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO3,Tomas Niinkoti_3_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO3,Tomas Niinkoti_3_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO3,Tomas Niinkoti_3_1,16200,,Yes,0,Summer,15600,2018,AFTER
Carolina Castro,FAO3,Tomas Niinkoti_3_1,15700,,Yes,0,Summer,11100,2018,AFTER
Boston Wayfarer,FAO4,Onesmus I Iipinge_4_1,17640,,Yes,0,Summer,14240,2018,AFTER
Boston Wayfarer,FAO4,Onesmus I Iipinge_4_1,17640,,Yes,0,Summer,14140,2018,AFTER
Boston Wayfarer,FAO4,Onesmus I Iipinge_4_1,17640,,Yes,0,Summer,13640,2018,AFTER
Boston Wayfarer,FAO4,Onesmus I Iipinge_4_1,17640,,Yes,0,Summer,13840,2018,AFTER
Boston Wayfarer,FAO4,Onesmus I Iipinge_4_1,17640,,Yes,0,Summer,14240,2018,AFTER
Boston Wayfarer,FAO4,Onesmus I Iipinge_4_1,7560,,Yes,0,Summer,4760,2018,AFTER
Blomeha,FAO5,Hofni Iipinge_5_1,15300,,Yes,0,Summer,15191,2018,AFTER
Blomeha,FAO5,Hofni Iipinge_5_1,15300,,Yes,0,Summer,15198,2018,AFTER
Blomeha,FAO5,Hofni Iipinge_5_1,16380,,Yes,0,Summer,16150,2018,AFTER
Blomeha,FAO5,Hofni Iipinge_5_1,9000,,Yes,0,Summer,8858,2018,AFTER
Boston Wayfarer,FAO6,Andreas Amukwaya_6_1,13860,,Yes,0,Summer,10860,2018,AFTER
Boston Wayfarer,FAO6,Andreas Amukwaya_6_1,15840,,Yes,0,Summer,12340,2018,AFTER
Carolina Castro,FAO7,Andowa J . B_7_1,18000,,Yes,0,Winter,17500,2018,AFTER
Carolina Castro,FAO7,Andowa J . B_7_1,18000,,Yes,0,Winter,17500,2018,AFTER
Carolina Castro,FAO7,Andowa J . B_7_1,18000,,Yes,0,Winter,17500,2018,AFTER
Carolina Castro,FAO7,Andowa J . B_7_1,9000,,Yes,0,Winter,8500,2018,AFTER
Carolina Castro,FAO7,Andowa J . B_7_1,10800,,Yes,0,Winter,10600,2018,AFTER
Carolina Castro,FAO7,Andowa J . B_7_1,14400,,Yes,0,Winter,14300,2018,AFTER
Carolina Castro,FAO8,J.  Shinyemba_8_1,16200,,Yes,0,Winter,16100,2018,AFTER
Carolina Castro,FAO8,J.  Shinyemba_8_1,16200,,Yes,0,Winter,16100,2018,AFTER
Carolina Castro,FAO8,J.  Shinyemba_8_1,18000,,Yes,0,Winter,17900,2018,AFTER
Carolina Castro,FAO8,J.  Shinyemba_8_1,18000,,Yes,0,Winter,17900,2018,AFTER
Carolina Castro,FAO8,J.  Shinyemba_8_1,18000,,Yes,0,Winter,17900,2018,AFTER
Carolina Castro,FAO8,J.  Shinyemba_8_1,16200,,Yes,0,Winter,16100,2018,AFTER
Liper,FAO9,E.M Milinga_9_1,10406,,Yes,0,Winter,8138,2018,AFTER
Liper,FAO9,E.M Milinga_9_1,10406,,Yes,0,Winter,8792,2018,AFTER
Liper,FAO9,E.M Milinga_9_1,10406,,Yes,0,Winter,8938,2018,AFTER
Liper,FAO9,E.M Milinga_9_1,10406,,Yes,0,Winter,9210,2018,AFTER
Blomeha,FAO10,Mowa George_10_1,16280,,Yes,0,Winter,14700,2018,AFTER
Blomeha,FAO10,Mowa George_10_1,14400,,Yes,0,Winter,14000,2018,AFTER
Blomeha,FAO10,Mowa George_10_1,16470,,Yes,0,Winter,16235,2018,AFTER
Blomeha,FAO10,Mowa George_10_1,14760,,Yes,0,Winter,14520,2018,AFTER
Blomeha,FAO10,Antsino Jonas_10_1,16381,,Yes,3,Winter,16195,2018,AFTER
Blomeha,FAO10,Antsino Jonas_10_1,16370,,Yes,2,Winter,16150,2018,AFTER
Boston Wayfarer,FAO11,Nekomba Sakaria_11_1,17655,,Yes,0,Summer,1415,2018,AFTER
Boston Wayfarer,FAO11,Nekomba Sakaria_11_1,16644,,Yes,0,Summer,12522,2018,AFTER
Boston Wayfarer,FAO11,Nekomba Sakaria_11_1,1890,,Yes,0,Summer,1355,2018,AFTER
Boston Wayfarer,FAO11,Nekomba Sakaria_11_1,8960,,Yes,0,Summer,5786,2018,AFTER
Blomeha,FAO12,Benjamin Hoeseb_12_1,15300,,Yes,0,Summer,6000,2018,AFTER
Blomeha,FAO12,Benjamin Hoeseb_12_1,15300,,Yes,0,Summer,4900,2018,AFTER
Blomeha,FAO12,Benjamin Hoeseb_12_1,15300,,Yes,0,Summer,2200,2018,AFTER
Blomeha,FAO12,Benjamin Hoeseb_12_1,15300,,Yes,0,Summer,10000,2018,AFTER
Blomeha,FAO12,Benjamin Hoeseb_12_1,9630,,Yes,0,Summer,6000,2018,AFTER
