UniqueID,OBSTRIP_ID,Set_ID,OBSET_ID,Ship_Line_ID,OBSGEAR_ID,Set_Observed,Date_Start_Set,Time_Start_Set,Latitude_Start_Set,Longitude_Start_Set,Date_End_Set,Time_End_Set,Latitude_End_Set,Longitude_End_Set
1,CNAO1,1,CNAO1_1,98LB005,CNAO1_1,No,19/11/2016,03:10,-22.72,13.03333333,19/11/2016,05:00,-22.48833333,12.915
2,CNAO1,2,CNAO1_2,98LB005,CNAO1_1,Yes,20/11/2016,03:30,-22.51,12.89333333,20/11/2016,05:30,-22.23333333,12.93833333
3,CNAO1,3,CNAO1_3,98LB005,CNAO1_1,Yes,21/11/2016,05:00,-22.42,12.89166667,21/11/2016,06:30,-22.19333333,12.93333333
4,CNAO1,4,CNAO1_4,98LB005,CNAO1_1,Yes,22/11/2016,05:00,-21.86,12.59833333,22/11/2016,06:50,-23.39833333,12.765
5,CNAO2,1,CNAO2_1,L1216,CNAO2_1,No,13/01/2017,03:50,-23.81,13.23,13/01/2017,05:30,-23.49666667,13.26333333
6,CNAO2,2,CNAO2_2,L1216,CNAO2_1,Yes,14/01/2017,03:40,-23.76,13.26,14/01/2017,05:30,-23.755,13.30833333
7,CNAO2,3,CNAO2_3,L1216,CNAO2_1,Yes,15/01/2017,03:40,-23.43,13.30666667,15/01/2017,05:45,-23.59666667,13.35666667
8,CNAO2,4,CNAO2_4,L1216,CNAO2_1,Yes,16/01/2017,03:45,-23.48,13.28833333,16/01/2017,06:00,-23.14166667,13.365
9,CNAO2,5,CNAO2_5,L1216,CNAO2_1,Yes,17/01/2017,05:00,-22.94,13.245,17/01/2017,06:00,-22.78,13.17166667
10,CNAO3,1,CNAO3_1,L1216,CNAO3_1,No,27/02/2017,01:05,-24.49,13.44833333,27/02/2017,02:00,-24.35666667,13.39833333
11,CNAO3,2,CNAO3_2,L1216,CNAO3_1,Yes,28/02/2017,04:05,-23.89,13.30833333,28/02/2017,06:00,-23.54833333,13.30833333
12,CNAO3,3,CNAO3_3,L1216,CNAO3_1,Yes,01/03/2017,05:10,-23.75,13.29833333,01/03/2017,06:30,-23.445,13.285
13,CNAO3,4,CNAO3_4,L1216,CNAO3_1,Yes,02/03/2017,03:45,-23.81,13.27833333,02/03/2017,05:45,-23.49833333,13.315
14,CNAO4,1,CNAO4_1,L961,CNAO4_1,Yes,04/04/2017,03:45,-24.42,13.52166667,04/04/2017,05:10,-24.145,13.375
15,CNAO4,2,CNAO4_2,L961,CNAO4_1,Yes,05/04/2017,04:25,-24.53,13.79,05/04/2017,06:00,-24.245,13.66666667
16,CNAO4,3,CNAO4_3,L961,CNAO4_1,Yes,06/04/2017,03:30,-23.17,13.73333333,06/04/2017,05:00,-22.85222222,13.4
17,CNAO4,4,CNAO4_4,L961,CNAO4_1,Yes,07/04/2017,03:05,-22.87,13.25,07/04/2017,05:00,-22.60333333,13.11666667
18,CNAO4,5,CNAO4_5,L961,CNAO4_1,Yes,08/04/2017,03:10,-22.89,13.26333333,08/04/2017,06:00,-22.61166667,13.08333333
19,CNAO4,6,CNAO4_6,L961,CNAO4_1,Yes,09/04/2017,04:00,-22.87,13.2,09/04/2017,06:00,-22.595,13.05166667
20,CNAO4,7,CNAO4_7,L961,CNAO4_1,No,10/04/2017,04:00,-22.89,13.35666667,10/04/2017,05:30,-22.65,13.06666667
21,CNAO5,1,CNAO5_1,L1216,CNAO5_1,No,11/06/2017,03:55,-22.91,12.61666667,11/06/2017,03:55,-22.61666667,13.03333333
22,CNAO5,2,CNAO5_2,L1216,CNAO5_1,Yes,12/06/2017,03:50,-22.85,13.355,12/06/2017,05:45,-22.57166667,13.14833333
23,CNAO5,3,CNAO5_3,L1216,CNAO5_1,Yes,13/06/2017,04:30,-23,13.4,13/06/2017,05:30,-22.99666667,13.39666667
24,CNAO5,4,CNAO5_4,L1216,CNAO5_1,Yes,14/06/2017,04:00,-23.28,12.38833333,14/06/2017,06:00,-22.96666667,13.40666667
25,CNAO5,5,CNAO5_5,L1216,CNAO5_1,Yes,15/06/2017,03:50,-23.25,13.33,15/06/2017,06:00,-22.96666667,13.33666667
26,CNAO6,1,CNAO6_1,98LB005,CNAO6_1,Yes,30/07/2017,19:00,-19.43,11.80194444,30/07/2017,20:00,-19.33472222,11.76833333
