START,END,date,lat,lon,Observer,dawn,sunrise
2018-01-20T02:00:00Z,2018-01-20T04:00:00Z,2018-01-20,20.49,12.35,FOA,2018-01-20T04:59:52Z,2018-01-20T05:50:22Z
2018-01-21T02:00:00Z,2018-01-21T04:00:00Z,2018-01-21,20.51,12.35,FOA,2018-01-21T04:59:53Z,2018-01-21T05:50:19Z
2018-01-22T01:15:00Z,2018-01-22T03:15:00Z,2018-01-22,20.58,12.44,FOA,2018-01-22T04:59:36Z,2018-01-22T05:49:59Z
2018-01-23T01:20:00Z,2018-01-23T03:20:00Z,2018-01-23,21.02,12.46,FOA,2018-01-23T05:00:02Z,2018-01-23T05:50:30Z
2018-01-24T01:25:00Z,2018-01-24T03:25:00Z,2018-01-24,20.52,12.41,FOA,2018-01-24T04:59:32Z,2018-01-24T05:49:45Z
2018-01-25T01:40:00Z,2018-01-25T03:40:00Z,2018-01-25,21.05,12.47,FOA,2018-01-25T04:59:52Z,2018-01-25T05:50:11Z
2018-01-26T01:40:00Z,2018-01-26T03:40:00Z,2018-01-26,21.09,12.47,FOA,2018-01-26T04:59:48Z,2018-01-26T05:50:03Z
2018-01-24T01:50:00Z,2018-01-24T03:50:00Z,2018-01-24,23.22,13.19,FOA,2018-01-24T04:59:47Z,2018-01-24T05:50:58Z
2018-01-25T01:45:00Z,2018-01-25T03:45:00Z,2018-01-25,23.18,13.21,FOA,2018-01-25T04:59:31Z,2018-01-25T05:50:37Z
2018-01-26T01:55:00Z,2018-01-26T03:55:00Z,2018-01-26,23.04,13.23,FOA,2018-01-26T04:59:06Z,2018-01-26T05:50:04Z
2018-01-27T02:00:00Z,2018-01-27T04:00:00Z,2018-01-27,23.09,13.22,FOA,2018-01-27T04:59:01Z,2018-01-27T05:49:56Z
2018-01-28T03:10:00Z,2018-01-28T05:10:00Z,2018-01-28,23.39,13.17,FOA,2018-01-28T04:59:22Z,2018-01-28T05:50:19Z
2018-01-29T02:30:00Z,2018-01-29T04:30:00Z,2018-01-29,23.51,13.16,FOA,2018-01-29T04:59:18Z,2018-01-29T05:50:13Z
2018-01-20T02:15:00Z,2018-01-20T04:15:00Z,2018-01-20,21.43,12.47,FOA,2018-01-20T05:00:38Z,2018-01-20T05:51:27Z
2018-01-21T01:40:00Z,2018-01-21T03:40:00Z,2018-01-21,21.58,12.46,FOA,2018-01-21T05:00:51Z,2018-01-21T05:51:39Z
2018-01-22T01:50:00Z,2018-01-22T03:50:00Z,2018-01-22,22.16,12.56,FOA,2018-01-22T05:01:09Z,2018-01-22T05:52:06Z
2018-01-23T01:45:00Z,2018-01-23T03:45:00Z,2018-01-23,22.21,12.56,FOA,2018-01-23T05:01:08Z,2018-01-23T05:52:01Z
2018-01-24T03:35:00Z,2018-01-24T05:35:00Z,2018-01-24,23.05,13.16,FOA,2018-01-24T04:59:41Z,2018-01-24T05:50:49Z
2018-02-02T01:35:00Z,2018-02-02T03:35:00Z,2018-02-02,23.32,13.16,FOA,2018-02-02T04:57:57Z,2018-02-02T05:48:29Z
2018-02-03T01:50:00Z,2018-02-03T03:50:00Z,2018-02-03,22.55,13.15,FOA,2018-02-03T04:56:53Z,2018-02-03T05:47:02Z
2018-02-04T01:52:00Z,2018-02-04T03:52:00Z,2018-02-04,22.57,13.15,FOA,2018-02-04T04:56:34Z,2018-02-04T05:46:39Z
2018-02-05T02:20:00Z,2018-02-05T04:20:00Z,2018-02-05,22.59,13.12,FOA,2018-02-05T04:56:20Z,2018-02-05T05:46:22Z
2018-02-06T02:25:00Z,2018-02-06T04:25:00Z,2018-02-06,23.04,13.09,FOA,2018-02-06T04:56:30Z,2018-02-06T05:46:36Z
2018-02-07T03:05:00Z,2018-02-07T05:05:00Z,2018-02-07,22.5,13.16,FOA,2018-02-07T04:55:19Z,2018-02-07T05:45:09Z
2018-01-27T02:00:00Z,2018-01-27T04:00:00Z,2018-01-27,23.52,13.16,FOA,2018-01-27T04:59:46Z,2018-01-27T05:50:51Z
2018-01-28T02:10:00Z,2018-01-28T04:10:00Z,2018-01-28,23.55,13.16,FOA,2018-01-28T04:59:35Z,2018-01-28T05:50:36Z
2018-01-30T02:05:00Z,2018-01-30T04:05:00Z,2018-01-30,23.24,13.16,FOA,2018-01-30T04:58:45Z,2018-01-30T05:49:29Z
2018-01-31T02:05:00Z,2018-01-31T04:05:00Z,2018-01-31,23.18,13.19,FOA,2018-01-31T04:58:18Z,2018-01-31T05:48:55Z
2017-11-07T04:00:00Z,2017-11-07T06:00:00Z,2017-11-07,21.54,12.47,FOA,2017-11-07T04:28:09Z,2017-11-07T05:17:54Z
2017-11-08T03:00:00Z,2017-11-08T05:00:00Z,2017-11-08,21.48,12.47,FOA,2017-11-08T04:28:36Z,2017-11-08T05:18:24Z
2017-09-18T02:40:00Z,2017-09-18T04:40:00Z,2017-09-18,21.16,12.45,FOA,2017-09-18T04:11:16Z,2017-09-18T04:59:20Z
2017-09-19T02:35:00Z,2017-09-19T04:35:00Z,2017-09-19,21.1,12.44,FOA,2017-09-19T04:11:36Z,2017-09-19T04:59:37Z
2017-09-20T02:35:00Z,2017-09-20T04:35:00Z,2017-09-20,21.23,12.44,FOA,2017-09-20T04:11:48Z,2017-09-20T04:59:50Z
2017-09-21T04:00:00Z,2017-09-21T06:00:00Z,2017-09-21,22.03,12.51,FOA,2017-09-21T04:11:26Z,2017-09-21T04:59:43Z
2017-09-22T02:55:00Z,2017-09-22T04:55:00Z,2017-09-22,22.49,13,FOA,2017-09-22T04:09:35Z,2017-09-22T04:58:00Z
2017-09-23T03:25:00Z,2017-09-23T05:25:00Z,2017-09-23,23.18,13.2,FOA,2017-09-23T04:08:49Z,2017-09-23T04:57:28Z
2017-08-16T05:30:00Z,2017-08-16T07:30:00Z,2017-08-16,24.25,13.42,FOA,2017-08-16T03:51:26Z,2017-08-16T04:43:02Z
2017-08-17T02:37:00Z,2017-08-17T04:37:00Z,2017-08-17,24.34,13.45,FOA,2017-08-17T03:51:41Z,2017-08-17T04:43:13Z
2017-08-18T02:50:00Z,2017-08-18T04:50:00Z,2017-08-18,24.43,13.45,FOA,2017-08-18T03:52:03Z,2017-08-18T04:43:32Z
2017-08-19T02:40:00Z,2017-08-19T04:40:00Z,2017-08-19,25.16,13.41,FOA,2017-08-19T03:51:33Z,2017-08-19T04:43:17Z
2017-08-20T04:10:00Z,2017-08-20T06:10:00Z,2017-08-20,23.52,13.17,FOA,2017-08-20T03:55:37Z,2017-08-20T04:46:28Z
2017-08-21T02:30:00Z,2017-08-21T04:30:00Z,2017-08-21,23.41,13.17,FOA,2017-08-21T03:56:15Z,2017-08-21T04:46:58Z
2017-09-19T03:20:00Z,2017-09-19T05:20:00Z,2017-09-19,24.19,13.37,FOA,2017-09-19T04:06:19Z,2017-09-19T04:55:27Z
2017-09-20T03:20:00Z,2017-09-20T05:20:00Z,2017-09-20,24.33,13.43,FOA,2017-09-20T04:06:21Z,2017-09-20T04:55:31Z
2017-09-21T03:00:00Z,2017-09-21T05:00:00Z,2017-09-21,24.27,13.42,FOA,2017-09-21T04:06:47Z,2017-09-21T04:55:54Z
2017-09-22T03:10:00Z,2017-09-22T05:10:00Z,2017-09-22,24.27,13.42,FOA,2017-09-22T04:07:09Z,2017-09-22T04:56:14Z
2017-09-22T02:35:00Z,2017-09-22T04:35:00Z,2017-09-22,24.2,13.38,FOA,2017-09-22T04:07:20Z,2017-09-22T04:56:24Z
2017-09-23T02:50:00Z,2017-09-23T04:50:00Z,2017-09-23,24.29,13.44,FOA,2017-09-23T04:07:25Z,2017-09-23T04:56:30Z
2017-09-24T02:50:00Z,2017-09-24T04:50:00Z,2017-09-24,24.42,13.45,FOA,2017-09-24T04:07:41Z,2017-09-24T04:56:48Z
2017-09-25T05:00:00Z,2017-09-25T07:00:00Z,2017-09-25,24.51,13.43,FOA,2017-09-25T04:08:05Z,2017-09-25T04:57:14Z
2017-09-01T03:30:00Z,2017-09-01T05:30:00Z,2017-09-01,23.19,13.16,FOA,2017-09-01T04:01:20Z,2017-09-01T04:51:00Z
2017-09-02T03:45:00Z,2017-09-02T05:45:00Z,2017-09-02,23.09,13.17,FOA,2017-09-02T04:01:47Z,2017-09-02T04:51:21Z
2017-12-27T01:57:00Z,2017-12-27T03:57:00Z,2017-12-27,21.27,12.46,FOA,2017-12-27T04:55:12Z,2017-12-27T05:47:08Z
2017-12-28T01:50:00Z,2017-12-28T03:50:00Z,2017-12-28,21.22,12.46,FOA,2017-12-28T04:55:31Z,2017-12-28T05:47:25Z
2017-12-29T01:58:00Z,2017-12-29T03:58:00Z,2017-12-29,21.09,12.46,FOA,2017-12-29T04:55:42Z,2017-12-29T05:47:32Z
2017-12-30T03:11:00Z,2017-12-30T05:11:00Z,2017-12-30,22.03,12.57,FOA,2017-12-30T04:57:09Z,2017-12-30T05:49:19Z
